,place,lat,lon
692,the American Republic,1.3083846,103.8322355
693,objective:&nbsp,,
694,Peace,56.1499273,-117.7513244
695,the Pacific islands,1.334568,173.0130386
696,Tutuila,-14.3064792,-170.7597387
697,"style=""font",45.626265,-1.0294452
698,the Republic of Costa Rica,9.9335439,-84.0562298
699,States and Territories,49.8973039,-97.1375339
700,the North of the Atlantic,34.6554746,-77.058082
701,magician,36.1095668,-118.4846654
702,Compliance,35.4993375,-97.5048907
703,America.</span,37.7779908,-122.3998298
704,Aranjuez,40.0322289,-3.6040097
705,none;font,,
706,Southwest Africa,4.0176442,9.2092623
707,Saugatuck Harbor,41.100246,-73.3804096
708,people&nbsp;and,,
709,Based,51.5412504,14.7308212
710,North Star,39.7576591,-75.7282165
711,Kazahkstan,,
712,Hampton Roads,36.9507552,-76.4114187
713,Cambodia,12.5433216,104.8144914
714,theSouth,,
715,Bennington,42.8788667,-73.1968205
716,Abbott,31.8899301,-97.0870831
717,the State of North Carolina,35.2409587,-77.8879114
718,North Carolina.<br,34.9984758,-80.7196384
719,Judges,50.8520821,0.5285334
720,Hot Springs,34.5038393,-93.0552437
721,Missouri,38.7604815,-92.5617875
722,Peninsula,41.241167,-81.552618
723,Missouri&mdash;and,,
724,everyone.</span,,
725,Persia,32.6475314,54.5643516
726,Bahamas,24.7736546,-78.0000547
727,Spain,39.3260685,-4.8379791
